Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps
76,Passenger_SEAV,3,1,1,1,502,1000,[502],[502]
77,Passenger_SEAV,4,1,0,0,179,1000,[179],[179]
78,Passenger_SEAV,1,1,3,3,171,1000,[171],[171]
79,Passenger_SEAV,5,1,1,1,390,1000,[390],[390]
80,Passenger_SEAV,5,1,0,0,362,1000,[362],[362]
81,Passenger_SEAV,1,1,3,3,143,1000,[143],[143]
82,Passenger_SEAV,5,1,1,1,72,1000,[72],[72]
83,Passenger_SEAV,1,1,1,1,604,1000,[604],[604]
84,Passenger_SEAV,2,1,1,1,221,1000,[221],[221]
85,Passenger_SEAV,5,1,2,2,488,1000,[488],[488]
86,Passenger_SEAV,1,1,0,0,694,1000,[694],[694]
87,Passenger_SEAV,2,1,2,2,494,1000,[494],[494]
88,Passenger_SEAV,1,1,3,3,669,1000,[669],[669]
89,Passenger_SEAV,1,1,4,4,491,1000,[491],[491]
90,Passenger_SEAV,3,1,3,3,671,1000,[671],[671]
91,Passenger_SEAV,1,1,0,0,252,1000,[252],[252]
92,Passenger_SEAV,4,1,1,1,309,1000,[309],[309]
93,Passenger_SEAV,1,1,1,1,573,1000,[573],[573]
94,Passenger_SEAV,5,1,1,1,223,1000,[223],[223]
95,Passenger_SEAV,3,1,1,1,169,1000,[169],[169]
96,Passenger_SEAV,3,1,0,0,659,1000,[659],[659]
97,Passenger_SEAV,4,1,1,1,162,1000,[162],[162]
98,Passenger_SEAV,1,1,2,2,601,1000,[601],[601]
99,Passenger_SEAV,2,1,1,1,473,1000,[473],[473]
100,Passenger_SEAV,4,1,1,1,676,1000,[676],[676]
101,Passenger_SEAV,4,1,1,1,579,1000,[579],[579]
102,Passenger_SEAV,4,1,2,2,108,1000,[108],[108]
103,Passenger_SEAV,1,1,3,3,671,1000,[671],[671]
104,Passenger_SEAV,3,1,0,0,103,1000,[103],[103]
105,Passenger_SEAV,5,1,2,2,387,1000,[387],[387]
106,Passenger_SEAV,5,1,1,1,90,1000,[90],[90]
107,Passenger_SEAV,5,1,1,1,345,1000,[345],[345]
108,Passenger_SEAV,5,1,1,1,322,1000,[322],[322]
109,Passenger_SEAV,3,1,1,1,348,1000,[348],[348]
110,Passenger_SEAV,5,1,1,1,11,1000,[11],[11]
111,Passenger_SEAV,4,1,0,0,164,1000,[164],[164]
112,Passenger_SEAV,4,1,1,1,662,1000,[662],[662]
113,Passenger_SEAV,5,1,3,3,201,1000,[201],[201]
114,Passenger_SEAV,1,1,2,2,642,1000,[642],[642]
115,Passenger_SEAV,4,1,0,0,262,1000,[262],[262]
116,Passenger_SEAV,1,1,3,3,340,1000,[340],[340]
117,Passenger_SEAV,5,1,3,3,521,1000,[521],[521]
118,Passenger_SEAV,2,1,1,1,646,1000,[646],[646]
119,Passenger_SEAV,1,1,2,2,685,1000,[685],[685]
120,Passenger_SEAV,4,1,2,2,173,1000,[173],[173]
121,Passenger_SEAV,4,1,0,0,293,1000,[293],[293]
122,Passenger_SEAV,1,1,1,1,520,1000,[520],[520]
123,Passenger_SEAV,5,1,1,1,202,1000,[202],[202]
124,Passenger_SEAV,1,1,3,3,243,1000,[243],[243]
125,Passenger_SEAV,5,1,1,1,265,1000,[265],[265]
126,Passenger_SEAV,2,1,2,2,647,1000,[647],[647]
127,Passenger_SEAV,4,1,3,3,331,1000,[331],[331]
128,Passenger_SEAV,5,1,1,1,236,1000,[236],[236]
129,Passenger_SEAV,3,1,3,3,86,1000,[86],[86]
130,Passenger_SEAV,4,1,0,0,562,1000,[562],[562]
131,Passenger_SEAV,1,1,2,2,505,1000,[505],[505]
132,Passenger_SEAV,4,1,0,0,344,1000,[344],[344]
133,Passenger_SEAV,4,1,4,4,572,1000,[572],[572]
134,Passenger_SEAV,4,1,2,2,82,1000,[82],[82]
135,Passenger_SEAV,5,1,0,0,321,1000,[321],[321]
136,Passenger_SEAV,4,1,1,1,243,1000,[243],[243]
137,Passenger_SEAV,1,1,0,0,234,1000,[234],[234]
138,Passenger_SEAV,2,1,3,3,654,1000,[654],[654]
139,Passenger_SEAV,4,1,0,0,365,1000,[365],[365]
140,Passenger_SEAV,1,1,1,1,326,1000,[326],[326]
141,Passenger_SEAV,1,1,4,4,163,1000,[163],[163]
142,Passenger_SEAV,1,1,1,1,46,1000,[46],[46]
143,Passenger_SEAV,4,2,1,1,33,1000,[33],[33]
144,Passenger_SEAV,2,2,1,1,458,1000,[458],[458]
145,Passenger_SEAV,2,2,3,3,669,1000,[669],[669]
146,Passenger_SEAV,4,2,0,0,550,1000,[550],[550]
147,Passenger_SEAV,4,2,0,0,328,1000,[328],[328]
148,Passenger_SEAV,4,2,2,2,71,1000,[71],[71]
149,Passenger_SEAV,1,2,1,1,190,1000,[190],[190]
150,Passenger_SEAV,5,2,1,1,257,1000,[257],[257]
151,Passenger_SEAV,1,2,2,2,606,1000,[606],[606]
152,Passenger_SEAV,4,2,1,1,304,1000,[304],[304]
153,Passenger_SEAV,3,2,0,0,523,1000,[523],[523]
154,Passenger_SEAV,1,2,4,4,13,1000,[13],[13]
155,Passenger_SEAV,5,2,2,2,319,1000,[319],[319]
156,Passenger_SEAV,3,2,0,0,485,1000,[485],[485]
157,Passenger_SEAV,4,2,2,2,518,1000,[518],[518]
158,Passenger_SEAV,3,2,1,1,514,1000,[514],[514]
159,Passenger_SEAV,3,2,1,1,613,1000,[613],[613]
160,Passenger_SEAV,1,2,0,0,484,1000,[484],[484]
161,Passenger_SEAV,5,2,1,1,670,1000,[670],[670]
162,Passenger_SEAV,2,2,1,1,488,1000,[488],[488]
163,Passenger_SEAV,3,2,2,2,73,1000,[73],[73]
164,Passenger_SEAV,5,2,1,1,107,1000,[107],[107]
165,Passenger_SEAV,2,2,1,1,166,1000,[166],[166]
166,Passenger_SEAV,3,2,1,1,403,1000,[403],[403]
167,Passenger_SEAV,2,2,2,2,11,1000,[11],[11]
168,Passenger_SEAV,5,2,1,1,14,1000,[14],[14]
169,Passenger_SEAV,5,2,2,2,274,1000,[274],[274]
170,Passenger_SEAV,5,2,0,0,404,1000,[404],[404]
171,Passenger_SEAV,5,2,3,3,28,1000,[28],[28]
172,Passenger_SEAV,2,2,0,0,263,1000,[263],[263]
173,Passenger_SEAV,5,2,3,3,690,1000,[690],[690]
174,Passenger_SEAV,5,2,1,1,247,1000,[247],[247]
175,Passenger_SEAV,3,2,2,2,516,1000,[516],[516]
176,Passenger_SEAV,2,2,2,2,20,1000,[20],[20]
177,Passenger_SEAV,5,2,3,3,338,1000,[338],[338]
178,Passenger_SEAV,2,2,2,2,217,1000,[217],[217]
179,Passenger_SEAV,5,2,2,2,584,1000,[584],[584]
180,Passenger_SEAV,2,2,2,2,459,1000,[459],[459]
181,Passenger_SEAV,4,2,1,1,446,1000,[446],[446]
182,Passenger_SEAV,3,2,2,2,263,1000,[263],[263]
183,Passenger_SEAV,3,2,2,2,134,1000,[134],[134]
184,Passenger_SEAV,3,2,4,4,219,1000,[219],[219]
185,Passenger_SEAV,4,2,1,1,90,1000,[90],[90]
186,Passenger_SEAV,1,2,1,1,3,1000,[3],[3]
187,Passenger_SEAV,5,2,3,3,421,1000,[421],[421]
188,Passenger_SEAV,4,2,2,2,170,1000,[170],[170]
189,Passenger_SEAV,1,2,0,0,581,1000,[581],[581]
190,Passenger_SEAV,3,2,1,1,441,1000,[441],[441]
191,Passenger_SEAV,5,2,1,1,175,1000,[175],[175]
192,Passenger_SEAV,5,2,0,0,318,1000,[318],[318]
193,Passenger_SEAV,5,2,0,0,636,1000,[636],[636]
194,Passenger_SEAV,3,2,0,0,267,1000,[267],[267]
195,Passenger_SEAV,5,2,1,1,68,1000,[68],[68]
196,Passenger_SEAV,2,2,2,2,538,1000,[538],[538]
197,Passenger_SEAV,1,2,2,2,67,1000,[67],[67]
198,Passenger_SEAV,4,2,3,3,120,1000,[120],[120]
199,Passenger_SEAV,3,2,2,2,151,1000,[151],[151]
200,Passenger_SEAV,3,2,3,3,13,1000,[13],[13]
201,Passenger_SEAV,5,2,3,3,614,1000,[614],[614]
202,Passenger_SEAV,2,2,3,3,66,1000,[66],[66]
203,Passenger_SEAV,2,2,1,1,308,1000,[308],[308]
204,Passenger_SEAV,1,2,2,2,310,1000,[310],[310]
205,Passenger_SEAV,5,2,1,1,170,1000,[170],[170]
206,Passenger_SEAV,4,2,0,0,577,1000,[577],[577]
207,Passenger_SEAV,5,2,0,0,7,1000,[7],[7]
208,Passenger_SEAV,3,2,1,1,334,1000,[334],[334]
209,Passenger_SEAV,1,2,3,3,268,1000,[268],[268]
210,Passenger_SEAV,2,2,1,1,108,1000,[108],[108]
211,Passenger_SEAV,2,2,1,1,323,1000,[323],[323]
212,Passenger_SEAV,4,2,1,1,92,1000,[92],[92]
213,Passenger_SEAV,3,2,0,0,54,1000,[54],[54]
214,Passenger_SEAV,4,2,1,1,694,1000,[694],[694]
215,Passenger_SEAV,1,2,2,2,133,1000,[133],[133]
216,Passenger_SEAV,5,2,1,1,377,1000,[377],[377]
217,Passenger_SEAV,1,2,0,0,143,1000,[143],[143]
218,Passenger_SEAV,5,2,2,2,304,1000,[304],[304]
219,Passenger_SEAV,4,2,0,0,304,1000,[304],[304]
220,Passenger_SEAV,1,2,1,1,123,1000,[123],[123]
221,Passenger_SEAV,4,2,3,3,167,1000,[167],[167]
222,Passenger_SEAV,5,2,1,1,421,1000,[421],[421]
223,Passenger_SEAV,1,2,1,1,298,1000,[298],[298]
224,Passenger_SEAV,5,2,2,2,421,1000,[421],[421]
225,Passenger_SEAV,3,2,0,0,510,1000,[510],[510]
226,Passenger_SEAV,1,2,2,2,661,1000,[661],[661]
227,Passenger_SEAV,5,2,2,2,316,1000,[316],[316]
228,Passenger_SEAV,3,2,1,1,660,1000,[660],[660]
229,Passenger_SEAV,1,2,1,1,571,1000,[571],[571]
230,Passenger_SEAV,1,2,3,3,297,1000,[297],[297]
231,Passenger_SEAV,4,2,1,1,3,1000,[3],[3]
232,Passenger_SEAV,5,2,2,2,618,1000,[618],[618]
233,Passenger_SEAV,5,2,1,1,288,1000,[288],[288]
234,Passenger_SEAV,4,2,0,0,369,1000,[369],[369]
235,Passenger_SEAV,3,2,0,0,55,1000,[55],[55]
236,Passenger_SEAV,2,2,0,0,329,1000,[329],[329]
237,Passenger_SEAV,2,2,1,1,691,1000,[691],[691]
238,Passenger_SEAV,5,2,0,0,354,1000,[354],[354]
239,Passenger_SEAV,3,2,0,0,505,1000,[505],[505]
240,Passenger_SEAV,5,2,1,1,382,1000,[382],[382]
241,Passenger_SEAV,2,2,1,1,439,1000,[439],[439]
242,Passenger_SEAV,4,2,3,3,225,1000,[225],[225]
243,Passenger_SEAV,3,2,1,1,198,1000,[198],[198]
244,Passenger_SEAV,4,2,3,3,206,1000,[206],[206]
245,Passenger_SEAV,3,2,0,0,632,1000,[632],[632]
246,Passenger_SEAV,4,2,3,3,594,1000,[594],[594]
247,Passenger_SEAV,2,2,3,3,83,1000,[83],[83]
248,Passenger_SEAV,1,2,3,3,81,1000,[81],[81]
249,Passenger_SEAV,1,2,2,2,411,1000,[411],[411]
250,Passenger_SEAV,5,2,2,2,351,1000,[351],[351]
251,Passenger_SEAV,5,2,3,3,46,1000,[46],[46]
252,Passenger_SEAV,2,2,2,2,543,1000,[543],[543]
253,Passenger_SEAV,1,2,1,1,99,1000,[99],[99]
254,Passenger_SEAV,1,2,2,2,132,1000,[132],[132]
255,Passenger_SEAV,2,2,2,2,119,1000,[119],[119]
256,Passenger_SEAV,1,2,1,1,123,1000,[123],[123]
257,Passenger_SEAV,4,2,2,2,299,1000,[299],[299]
258,Passenger_SEAV,2,2,3,3,25,1000,[25],[25]
259,Passenger_SEAV,4,2,0,0,644,1000,[644],[644]
260,Passenger_SEAV,2,2,2,2,74,1000,[74],[74]
261,Passenger_SEAV,4,2,1,1,127,1000,[127],[127]
262,Passenger_SEAV,2,2,0,0,601,1000,[601],[601]
263,Passenger_SEAV,5,2,1,1,417,1000,[417],[417]
264,Passenger_SEAV,4,2,3,3,296,1000,[296],[296]
265,Passenger_SEAV,3,2,3,3,116,1000,[116],[116]
266,Passenger_SEAV,3,2,0,0,297,1000,[297],[297]
267,Passenger_SEAV,3,2,2,2,163,1000,[163],[163]
268,Passenger_SEAV,4,2,2,2,323,1000,[323],[323]
269,Passenger_SEAV,1,2,2,2,634,1000,[634],[634]
270,Passenger_SEAV,1,2,3,3,601,1000,[601],[601]
271,Passenger_SEAV,2,2,3,3,314,1000,[314],[314]
272,Passenger_SEAV,4,2,0,0,422,1000,[422],[422]
273,Passenger_SEAV,5,2,2,2,394,1000,[394],[394]
274,Passenger_SEAV,5,2,3,3,443,1000,[443],[443]
275,Passenger_SEAV,4,2,1,1,305,1000,[305],[305]
276,Passenger_SEAV,1,2,2,2,208,1000,[208],[208]
277,Passenger_SEAV,1,2,3,3,472,1000,[472],[472]
278,Passenger_SEAV,1,2,1,1,15,1000,[15],[15]
279,Passenger_SEAV,4,2,1,1,145,1000,[145],[145]
280,Passenger_SEAV,2,2,1,1,605,1000,[605],[605]
281,Passenger_SEAV,3,2,0,0,136,1000,[136],[136]
282,Passenger_SEAV,4,2,1,1,411,1000,[411],[411]
283,Passenger_SEAV,1,2,1,1,302,1000,[302],[302]
284,Passenger_SEAV,2,2,1,1,279,1000,[279],[279]
285,Passenger_SEAV,1,2,2,2,226,1000,[226],[226]
286,Passenger_SEAV,2,2,1,1,487,1000,[487],[487]
287,Passenger_SEAV,2,3,1,1,358,1000,[358],[358]
288,Passenger_SEAV,3,3,1,1,650,1000,[650],[650]
289,Passenger_SEAV,3,3,1,1,633,1000,[633],[633]
290,Passenger_SEAV,4,3,1,1,439,1000,[439],[439]
291,Passenger_SEAV,1,3,1,1,522,1000,[522],[522]
292,Passenger_SEAV,5,3,0,0,659,1000,[659],[659]
293,Passenger_SEAV,1,3,3,3,563,1000,[563],[563]
294,Passenger_SEAV,1,3,2,2,307,1000,[307],[307]
295,Passenger_SEAV,5,3,1,1,652,1000,[652],[652]
296,Passenger_SEAV,5,3,0,0,466,1000,[466],[466]
297,Passenger_SEAV,1,3,1,1,49,1000,[49],[49]
298,Passenger_SEAV,3,3,0,0,695,1000,[695],[695]
299,Passenger_SEAV,5,3,1,1,121,1000,[121],[121]
300,Passenger_SEAV,2,3,3,3,329,1000,[329],[329]
301,Passenger_SEAV,3,3,2,2,519,1000,[519],[519]
302,Passenger_SEAV,3,3,1,1,161,1000,[161],[161]
303,Passenger_SEAV,4,3,1,1,528,1000,[528],[528]
304,Passenger_SEAV,4,3,2,2,267,1000,[267],[267]
305,Passenger_SEAV,3,3,0,0,423,1000,[423],[423]
306,Passenger_SEAV,4,3,2,2,86,1000,[86],[86]
307,Passenger_SEAV,3,3,2,2,17,1000,[17],[17]
308,Passenger_SEAV,2,3,1,1,11,1000,[11],[11]
309,Passenger_SEAV,5,3,0,0,201,1000,[201],[201]
310,Passenger_SEAV,3,3,2,2,355,1000,[355],[355]
311,Passenger_SEAV,3,3,0,0,556,1000,[556],[556]
312,Passenger_SEAV,5,3,3,3,445,1000,[445],[445]
313,Passenger_SEAV,1,3,2,2,443,1000,[443],[443]
314,Passenger_SEAV,1,3,0,0,250,1000,[250],[250]
315,Passenger_SEAV,3,3,1,1,545,1000,[545],[545]
316,Passenger_SEAV,5,3,0,0,184,1000,[184],[184]
317,Passenger_SEAV,5,3,2,2,116,1000,[116],[116]
318,Passenger_SEAV,2,3,2,2,519,1000,[519],[519]
319,Passenger_SEAV,2,3,1,1,512,1000,[512],[512]
320,Passenger_SEAV,3,3,1,1,231,1000,[231],[231]
321,Passenger_SEAV,1,3,2,2,250,1000,[250],[250]
322,Passenger_SEAV,2,3,2,2,584,1000,[584],[584]
323,Passenger_SEAV,3,3,1,1,322,1000,[322],[322]
324,Passenger_SEAV,2,3,0,0,248,1000,[248],[248]
325,Passenger_SEAV,5,3,3,3,137,1000,[137],[137]
326,Passenger_SEAV,2,3,1,1,135,1000,[135],[135]
327,Passenger_SEAV,3,3,1,1,545,1000,[545],[545]
328,Passenger_SEAV,4,3,3,3,638,1000,[638],[638]
329,Passenger_SEAV,1,3,3,3,141,1000,[141],[141]
330,Passenger_SEAV,1,3,3,3,429,1000,[429],[429]
331,Passenger_SEAV,4,3,0,0,230,1000,[230],[230]
332,Passenger_SEAV,4,3,2,2,615,1000,[615],[615]
333,Passenger_SEAV,5,3,0,0,208,1000,[208],[208]
334,Passenger_SEAV,3,3,1,1,279,1000,[279],[279]
335,Passenger_SEAV,4,3,2,2,632,1000,[632],[632]
336,Passenger_SEAV,3,3,1,1,340,1000,[340],[340]
337,Passenger_SEAV,5,3,2,2,330,1000,[330],[330]
338,Passenger_SEAV,1,3,3,3,5,1000,[5],[5]
339,Passenger_SEAV,3,3,3,3,100,1000,[100],[100]
340,Passenger_SEAV,2,3,0,0,202,1000,[202],[202]
341,Passenger_SEAV,4,3,3,3,482,1000,[482],[482]
342,Passenger_SEAV,3,3,1,1,316,1000,[316],[316]
343,Passenger_SEAV,3,3,1,1,664,1000,[664],[664]
344,Passenger_SEAV,2,3,1,1,375,1000,[375],[375]
345,Passenger_SEAV,3,3,2,2,79,1000,[79],[79]
346,Passenger_SEAV,3,3,0,0,655,1000,[655],[655]
347,Passenger_SEAV,4,3,1,1,561,1000,[561],[561]
348,Passenger_SEAV,1,3,1,1,4,1000,[4],[4]
349,Passenger_SEAV,3,3,1,1,585,1000,[585],[585]
350,Passenger_SEAV,2,3,2,2,147,1000,[147],[147]
351,Passenger_SEAV,5,3,2,2,526,1000,[526],[526]
352,Passenger_SEAV,1,3,2,2,151,1000,[151],[151]
353,Passenger_SEAV,3,3,0,0,202,1000,[202],[202]
354,Passenger_SEAV,2,3,4,4,428,1000,[428],[428]
355,Passenger_SEAV,2,3,2,2,410,1000,[410],[410]
356,Passenger_SEAV,3,3,1,1,673,1000,[673],[673]
357,Passenger_SEAV,5,3,1,1,17,1000,[17],[17]
358,Passenger_SEAV,4,3,1,1,265,1000,[265],[265]
359,Passenger_SEAV,5,3,3,3,126,1000,[126],[126]
360,Passenger_SEAV,2,3,1,1,274,1000,[274],[274]
361,Passenger_SEAV,3,3,3,3,178,1000,[178],[178]
362,Passenger_SEAV,1,3,2,2,108,1000,[108],[108]
363,Passenger_SEAV,1,3,3,3,128,1000,[128],[128]
364,Passenger_SEAV,5,3,2,2,327,1000,[327],[327]
365,Passenger_SEAV,2,3,3,3,208,1000,[208],[208]
366,Passenger_SEAV,1,3,1,1,295,1000,[295],[295]
367,Passenger_SEAV,3,3,1,1,256,1000,[256],[256]
368,Passenger_SEAV,5,3,2,2,487,1000,[487],[487]
369,Passenger_SEAV,2,3,1,1,310,1000,[310],[310]
370,Passenger_SEAV,2,3,1,1,268,1000,[268],[268]
371,Passenger_SEAV,3,3,2,2,327,1000,[327],[327]
372,Passenger_SEAV,5,3,1,1,144,1000,[144],[144]
373,Passenger_SEAV,3,3,3,3,383,1000,[383],[383]
374,Passenger_SEAV,4,3,1,1,21,1000,[21],[21]
375,Passenger_SEAV,3,3,3,3,387,1000,[387],[387]
376,Passenger_SEAV,2,3,1,1,185,1000,[185],[185]
377,Passenger_SEAV,1,3,3,3,359,1000,[359],[359]
378,Passenger_SEAV,5,3,0,0,386,1000,[386],[386]
379,Passenger_SEAV,2,3,2,2,37,1000,[37],[37]
380,Passenger_SEAV,4,3,0,0,480,1000,[480],[480]
381,Passenger_SEAV,4,3,2,2,643,1000,[643],[643]
382,Passenger_SEAV,5,3,2,2,525,1000,[525],[525]
383,Passenger_SEAV,3,3,4,4,650,1000,[650],[650]
384,Passenger_SEAV,4,3,1,1,551,1000,[551],[551]
385,Passenger_SEAV,2,3,2,2,33,1000,[33],[33]
386,Passenger_SEAV,5,3,0,0,621,1000,[621],[621]
387,Passenger_SEAV,1,3,1,1,213,1000,[213],[213]
388,Passenger_SEAV,1,3,0,0,478,1000,[478],[478]
389,Passenger_SEAV,3,3,2,2,202,1000,[202],[202]
390,Passenger_SEAV,5,3,2,2,153,1000,[153],[153]
391,Passenger_SEAV,4,3,1,1,534,1000,[534],[534]
392,Passenger_SEAV,3,3,2,2,383,1000,[383],[383]
393,Passenger_SEAV,4,3,1,1,512,1000,[512],[512]
394,Passenger_SEAV,2,3,2,2,324,1000,[324],[324]
395,Passenger_SEAV,5,3,1,1,200,1000,[200],[200]
396,Passenger_SEAV,5,3,2,2,660,1000,[660],[660]
397,Passenger_SEAV,2,3,1,1,255,1000,[255],[255]
398,Passenger_SEAV,2,3,1,1,39,1000,[39],[39]
399,Passenger_SEAV,4,3,0,0,181,1000,[181],[181]
400,Passenger_SEAV,5,3,0,0,117,1000,[117],[117]
401,Passenger_SEAV,1,3,1,1,223,1000,[223],[223]
402,Passenger_SEAV,4,3,2,2,193,1000,[193],[193]
403,Passenger_SEAV,4,3,0,0,350,1000,[350],[350]
404,Passenger_SEAV,2,3,0,0,260,1000,[260],[260]
405,Passenger_SEAV,2,3,2,2,478,1000,[478],[478]
406,Passenger_SEAV,3,3,2,2,564,1000,[564],[564]
407,Passenger_SEAV,3,3,3,3,152,1000,[152],[152]
408,Passenger_SEAV,1,3,1,1,576,1000,[576],[576]
409,Passenger_SEAV,5,3,1,1,28,1000,[28],[28]
410,Passenger_SEAV,3,3,1,1,545,1000,[545],[545]
411,Passenger_SEAV,2,3,2,2,320,1000,[320],[320]
412,Passenger_SEAV,5,3,3,3,144,1000,[144],[144]
413,Passenger_SEAV,5,3,0,0,593,1000,[593],[593]
414,Passenger_SEAV,2,3,1,1,409,1000,[409],[409]
415,Passenger_SEAV,1,3,1,1,223,1000,[223],[223]
416,Passenger_SEAV,2,3,3,3,249,1000,[249],[249]
417,Passenger_SEAV,2,3,2,2,674,1000,[674],[674]
418,Passenger_SEAV,1,3,1,1,558,1000,[558],[558]
419,Passenger_SEAV,1,3,1,1,483,1000,[483],[483]
420,Passenger_SEAV,4,3,1,1,169,1000,[169],[169]
421,Passenger_SEAV,4,3,3,3,229,1000,[229],[229]
422,Passenger_SEAV,4,3,2,2,428,1000,[428],[428]
423,Passenger_SEAV,5,3,2,2,673,1000,[673],[673]
424,Passenger_SEAV,4,3,1,1,453,1000,[453],[453]
425,Passenger_SEAV,3,3,0,0,46,1000,[46],[46]
426,Passenger_SEAV,1,3,1,1,599,1000,[599],[599]
427,Passenger_SEAV,3,3,2,2,693,1000,[693],[693]
428,Passenger_SEAV,4,3,2,2,454,1000,[454],[454]
429,Passenger_SEAV,3,3,0,0,630,1000,[630],[630]
430,Passenger_SEAV,1,3,1,1,45,1000,[45],[45]
431,Passenger_SEAV,1,3,0,0,436,1000,[436],[436]
432,Passenger_SEAV,5,3,1,1,571,1000,[571],[571]
